Year,Month,Species,log.metric.tons,metric.tons
1990,Jan,Chinook,3.39785848039664,29.9
1990,Feb,Chinook,3.80888224650863,45.1
1990,Mar,Chinook,3.51154543883102,33.5
1990,Apr,Chinook,4.24849524204936,70
1990,May,Chinook,5.20070453768104,181.4
1990,Jun,Chinook,4.37197629882038,79.2
1990,Jul,Chinook,4.68398136641238,108.2
1990,Aug,Chinook,NA,NA
1990,Sep,Chinook,NA,NA
1990,Oct,Chinook,5.80573719717919,332.2
1990,Nov,Chinook,3.56388296393925,35.3
1990,Dec,Chinook,3.44041809481544,31.2
1991,Jan,Chinook,2.99573227355399,20
1991,Feb,Chinook,4.00369019395397,54.8
1991,Mar,Chinook,2.26176309847379,9.6
1991,Apr,Chinook,3.30321697330195,27.2
1991,May,Chinook,4.772378104972,118.2
1991,Jun,Chinook,4.74144780428064,114.6
1991,Jul,Chinook,4.05698877567833,57.8
1991,Aug,Chinook,6.28077030067586,534.2
1991,Sep,Chinook,6.56018164928975,706.4
1991,Oct,Chinook,5.67091487103058,290.3
1991,Nov,Chinook,4.18052225846315,65.4
1991,Dec,Chinook,3.49347265777133,32.9
1992,Jan,Chinook,3.04452243772342,21
1992,Feb,Chinook,3.30321697330195,27.2
1992,Mar,Chinook,2.09186406167839,8.1
1992,Apr,Chinook,3.35689712276558,28.7
1992,May,Chinook,5.27197339120843,194.8
1992,Jun,Chinook,4.79164975293071,120.5
1992,Jul,Chinook,4.28771595520264,72.8
1992,Aug,Chinook,6.1222734872194,455.9
1992,Sep,Chinook,6.31698416503906,553.9
1992,Oct,Chinook,5.47730002207648,239.2
1992,Nov,Chinook,2.90142159408275,18.2
1992,Dec,Chinook,1.70474809223843,5.5
1993,Jan,Chinook,1.25276296849537,3.5
1993,Feb,Chinook,1.66770682055808,5.3
1993,Mar,Chinook,1.66770682055808,5.3
1993,Apr,Chinook,2.64617479738412,14.1
1993,May,Chinook,4.77996347636125,119.1
1993,Jun,Chinook,4.41158543691543,82.4
1993,Jul,Chinook,3.94158180766969,51.5
1993,Aug,Chinook,5.90726738830723,367.7
1993,Sep,Chinook,6.08745631276171,440.3
1993,Oct,Chinook,5.38952824660142,219.1
1993,Nov,Chinook,2.56494935746154,13
1993,Dec,Chinook,1.66770682055808,5.3
1994,Jan,Chinook,1.54756250871601,4.7
1994,Feb,Chinook,0.693147180559945,2
1994,Mar,Chinook,1.88706964903238,6.6
1994,Apr,Chinook,2.17475172148416,8.8
1994,May,Chinook,2.21920348405499,9.2
1994,Jun,Chinook,3.39450839351136,29.8
1994,Jul,Chinook,2.46809953147162,11.8
1994,Aug,Chinook,6.05888952342277,427.9
1994,Sep,Chinook,6.02489932319422,413.6
1994,Oct,Chinook,5.27402467397899,195.2
1994,Nov,Chinook,1.87180217690159,6.5
1994,Dec,Chinook,0.405465108108164,1.5
1995,Jan,Chinook,0.262364264467491,1.3
1995,Feb,Chinook,0.182321556793955,1.2
1995,Mar,Chinook,-0.356674943938732,0.7
1995,Apr,Chinook,1.45861502269952,4.3
1995,May,Chinook,1.77495235091167,5.9
1995,Jun,Chinook,2.07944154167984,8
1995,Jul,Chinook,2.77258872223978,16
1995,Aug,Chinook,5.78751069018691,326.2
1995,Sep,Chinook,6.14311209671712,465.5
1995,Oct,Chinook,5.46806014113513,237
1995,Nov,Chinook,2.72785282839839,15.3
1995,Dec,Chinook,0.693147180559945,2
1996,Jan,Chinook,NA,NA
1996,Feb,Chinook,0.8754687373539,2.4
1996,Mar,Chinook,-0.105360515657826,0.9
1996,Apr,Chinook,2.90690105984738,18.3
1996,May,Chinook,2.34180580614733,10.4
1996,Jun,Chinook,3.00568260440716,20.2
1996,Jul,Chinook,3.01062088604774,20.3
1996,Aug,Chinook,6.0318864616069,416.5
1996,Sep,Chinook,6.59959835334097,734.8
1996,Oct,Chinook,5.30826769740121,202
1996,Nov,Chinook,1.98787434815435,7.3
1996,Dec,Chinook,0.53062825106217,1.7
1997,Jan,Chinook,-0.22314355131421,0.8
1997,Feb,Chinook,-0.105360515657826,0.9
1997,Mar,Chinook,-2.30258509299405,0.1
1997,Apr,Chinook,3.86911550441687,47.9
1997,May,Chinook,3.77734810210154,43.7
1997,Jun,Chinook,3.79548918917219,44.5
1997,Jul,Chinook,2.64617479738412,14.1
1997,Aug,Chinook,6.1452580202874,466.5
1997,Sep,Chinook,6.53785034627252,690.8
1997,Oct,Chinook,4.89783979995091,134
1997,Nov,Chinook,1.79175946922805,6
1997,Dec,Chinook,NA,NA
1998,Jan,Chinook,NA,NA
1998,Feb,Chinook,NA,NA
1998,Mar,Chinook,NA,NA
1998,Apr,Chinook,-0.916290731874155,0.4
1998,May,Chinook,4.16511363311031,64.4
1998,Jun,Chinook,3.61091791264422,37
1998,Jul,Chinook,2.09186406167839,8.1
1998,Aug,Chinook,5.5671988095361,261.7
1998,Sep,Chinook,5.90454407507728,366.7
1998,Oct,Chinook,4.66438204561994,106.1
1998,Nov,Chinook,2.74727091425549,15.6
1998,Dec,Chinook,-2.30258509299405,0.1
1999,Jan,Chinook,-0.916290731874155,0.4
1999,Feb,Chinook,NA,NA
1999,Mar,Chinook,-2.30258509299405,0.1
1999,Apr,Chinook,NA,NA
1999,May,Chinook,3.58351893845611,36
1999,Jun,Chinook,4.72295322164447,112.5
1999,Jul,Chinook,4.22390976657674,68.3
1999,Aug,Chinook,5.54165562514777,255.1
1999,Sep,Chinook,6.18785336111337,486.8
1999,Oct,Chinook,4.59309760475382,98.8
1999,Nov,Chinook,2.16332302566054,8.7
1999,Dec,Chinook,-1.20397280432594,0.3
2000,Jan,Chinook,NA,NA
2000,Feb,Chinook,NA,NA
2000,Mar,Chinook,NA,NA
2000,Apr,Chinook,NA,NA
2000,May,Chinook,NA,NA
2000,Jun,Chinook,NA,NA
2000,Jul,Chinook,NA,NA
2000,Aug,Chinook,NA,NA
2000,Sep,Chinook,NA,NA
2000,Oct,Chinook,NA,NA
2000,Nov,Chinook,NA,NA
2000,Dec,Chinook,NA,NA
2001,Jan,Chinook,NA,NA
2001,Feb,Chinook,NA,NA
2001,Mar,Chinook,NA,NA
2001,Apr,Chinook,NA,NA
2001,May,Chinook,NA,NA
2001,Jun,Chinook,NA,NA
2001,Jul,Chinook,NA,NA
2001,Aug,Chinook,NA,NA
2001,Sep,Chinook,NA,NA
2001,Oct,Chinook,NA,NA
2001,Nov,Chinook,NA,NA
2001,Dec,Chinook,NA,NA
2002,Jan,Chinook,NA,NA
2002,Feb,Chinook,NA,NA
2002,Mar,Chinook,NA,NA
2002,Apr,Chinook,NA,NA
2002,May,Chinook,NA,NA
2002,Jun,Chinook,NA,NA
2002,Jul,Chinook,NA,NA
2002,Aug,Chinook,NA,NA
2002,Sep,Chinook,NA,NA
2002,Oct,Chinook,NA,NA
2002,Nov,Chinook,NA,NA
2002,Dec,Chinook,NA,NA
2003,Jan,Chinook,NA,NA
2003,Feb,Chinook,NA,NA
2003,Mar,Chinook,NA,NA
2003,Apr,Chinook,NA,NA
2003,May,Chinook,NA,NA
2003,Jun,Chinook,NA,NA
2003,Jul,Chinook,NA,NA
2003,Aug,Chinook,NA,NA
2003,Sep,Chinook,NA,NA
2003,Oct,Chinook,NA,NA
2003,Nov,Chinook,NA,NA
2003,Dec,Chinook,NA,NA
2004,Jan,Chinook,NA,NA
2004,Feb,Chinook,NA,NA
2004,Mar,Chinook,NA,NA
2004,Apr,Chinook,NA,NA
2004,May,Chinook,NA,NA
2004,Jun,Chinook,NA,NA
2004,Jul,Chinook,NA,NA
2004,Aug,Chinook,NA,NA
2004,Sep,Chinook,NA,NA
2004,Oct,Chinook,NA,NA
2004,Nov,Chinook,NA,NA
2004,Dec,Chinook,NA,NA
2005,Jan,Chinook,NA,NA
2005,Feb,Chinook,NA,NA
2005,Mar,Chinook,NA,NA
2005,Apr,Chinook,NA,NA
2005,May,Chinook,NA,NA
2005,Jun,Chinook,NA,NA
2005,Jul,Chinook,NA,NA
2005,Aug,Chinook,NA,NA
2005,Sep,Chinook,NA,NA
2005,Oct,Chinook,NA,NA
2005,Nov,Chinook,NA,NA
2005,Dec,Chinook,NA,NA
2006,Jan,Chinook,NA,NA
2006,Feb,Chinook,NA,NA
2006,Mar,Chinook,NA,NA
2006,Apr,Chinook,NA,NA
2006,May,Chinook,NA,NA
2006,Jun,Chinook,NA,NA
2006,Jul,Chinook,NA,NA
2006,Aug,Chinook,NA,NA
2006,Sep,Chinook,NA,NA
2006,Oct,Chinook,NA,NA
2006,Nov,Chinook,NA,NA
2006,Dec,Chinook,NA,NA
2007,Jan,Chinook,NA,NA
2007,Feb,Chinook,NA,NA
2007,Mar,Chinook,NA,NA
2007,Apr,Chinook,NA,NA
2007,May,Chinook,NA,NA
2007,Jun,Chinook,NA,NA
2007,Jul,Chinook,NA,NA
2007,Aug,Chinook,NA,NA
2007,Sep,Chinook,NA,NA
2007,Oct,Chinook,NA,NA
2007,Nov,Chinook,NA,NA
2007,Dec,Chinook,NA,NA
2008,Jan,Chinook,NA,NA
2008,Feb,Chinook,NA,NA
2008,Mar,Chinook,NA,NA
2008,Apr,Chinook,NA,NA
2008,May,Chinook,NA,NA
2008,Jun,Chinook,NA,NA
2008,Jul,Chinook,NA,NA
2008,Aug,Chinook,NA,NA
2008,Sep,Chinook,NA,NA
2008,Oct,Chinook,NA,NA
2008,Nov,Chinook,NA,NA
2008,Dec,Chinook,NA,NA
2009,Jan,Chinook,NA,NA
2009,Feb,Chinook,NA,NA
2009,Mar,Chinook,NA,NA
2009,Apr,Chinook,NA,NA
2009,May,Chinook,NA,NA
2009,Jun,Chinook,NA,NA
2009,Jul,Chinook,NA,NA
2009,Aug,Chinook,NA,NA
2009,Sep,Chinook,NA,NA
2009,Oct,Chinook,NA,NA
2009,Nov,Chinook,NA,NA
2009,Dec,Chinook,NA,NA
2010,Jan,Chinook,NA,NA
2010,Feb,Chinook,NA,NA
2010,Mar,Chinook,NA,NA
2010,Apr,Chinook,NA,NA
2010,May,Chinook,NA,NA
2010,Jun,Chinook,NA,NA
2010,Jul,Chinook,NA,NA
2010,Aug,Chinook,NA,NA
2010,Sep,Chinook,NA,NA
2010,Oct,Chinook,NA,NA
2010,Nov,Chinook,NA,NA
2010,Dec,Chinook,NA,NA
2011,Jan,Chinook,NA,NA
2011,Feb,Chinook,NA,NA
2011,Mar,Chinook,NA,NA
2011,Apr,Chinook,NA,NA
2011,May,Chinook,NA,NA
2011,Jun,Chinook,NA,NA
2011,Jul,Chinook,NA,NA
2011,Aug,Chinook,NA,NA
2011,Sep,Chinook,NA,NA
2011,Oct,Chinook,NA,NA
2011,Nov,Chinook,NA,NA
2011,Dec,Chinook,NA,NA
2012,Jan,Chinook,NA,NA
2012,Feb,Chinook,NA,NA
2012,Mar,Chinook,NA,NA
2012,Apr,Chinook,NA,NA
2012,May,Chinook,NA,NA
2012,Jun,Chinook,NA,NA
2012,Jul,Chinook,NA,NA
2012,Aug,Chinook,NA,NA
2012,Sep,Chinook,NA,NA
2012,Oct,Chinook,NA,NA
2012,Nov,Chinook,NA,NA
2012,Dec,Chinook,NA,NA
2013,Jan,Chinook,NA,NA
2013,Feb,Chinook,NA,NA
2013,Mar,Chinook,NA,NA
2013,Apr,Chinook,NA,NA
2013,May,Chinook,NA,NA
2013,Jun,Chinook,NA,NA
2013,Jul,Chinook,NA,NA
2013,Aug,Chinook,NA,NA
2013,Sep,Chinook,NA,NA
2013,Oct,Chinook,NA,NA
2013,Nov,Chinook,NA,NA
2013,Dec,Chinook,NA,NA
2014,Jan,Chinook,1.43508452528932,4.2
2014,Feb,Chinook,0.53062825106217,1.7
2014,Mar,Chinook,0.741937344729377,2.1
2014,Apr,Chinook,1.85629799036563,6.4
2014,May,Chinook,5.50817302353531,246.7
2014,Jun,Chinook,5.26734256224861,193.9
2014,Jul,Chinook,5.59879226079857,270.1
2014,Aug,Chinook,6.24649428728451,516.2
2014,Sep,Chinook,NA,NA
2014,Oct,Chinook,5.75161980407036,314.7
2014,Nov,Chinook,1.97408102602201,7.2
2014,Dec,Chinook,-0.22314355131421,0.8
2015,Jan,Chinook,0.693147180559945,2
2015,Feb,Chinook,1.3609765531356,3.9
2015,Mar,Chinook,1.56861591791385,4.8
2015,Apr,Chinook,1.96009478404727,7.1
2015,May,Chinook,5.33945930987921,208.4
2015,Jun,Chinook,5.78043482617728,323.9
2015,Jul,Chinook,5.9482960517066,383.1
2015,Aug,Chinook,6.24552520105691,515.7
2015,Sep,Chinook,NA,NA
2015,Oct,Chinook,5.46128619482618,235.4
2015,Nov,Chinook,2.50959926237837,12.3
2015,Dec,Chinook,-1.6094379124341,0.2
