Year,Month,Species,State,log.metric.tons,metric.tons,Value
1990,Jan,Chinook,WA,3.39785848039664,29.9,108515
1990,Feb,Chinook,WA,3.80888224650863,45.1,308707
1990,Mar,Chinook,WA,3.51154543883102,33.5,200535
1990,Apr,Chinook,WA,4.24849524204936,70,431136
1990,May,Chinook,WA,5.20070453768104,181.4,859988
1990,Jun,Chinook,WA,4.37197629882038,79.2,419635
1990,Jul,Chinook,WA,4.68398136641238,108.2,430928
1990,Aug,Chinook,WA,NA,NA,3164630
1990,Sep,Chinook,WA,NA,NA,2475423
1990,Oct,Chinook,WA,5.80573719717919,332.2,786851
1990,Nov,Chinook,WA,3.56388296393925,35.3,123213
1990,Dec,Chinook,WA,3.44041809481544,31.2,130461
1991,Jan,Chinook,WA,2.99573227355399,20,76895
1991,Feb,Chinook,WA,4.00369019395397,54.8,379706
1991,Mar,Chinook,WA,2.26176309847379,9.6,51185
1991,Apr,Chinook,WA,3.30321697330195,27.2,117237
1991,May,Chinook,WA,4.772378104972,118.2,610402
1991,Jun,Chinook,WA,4.74144780428064,114.6,538933
1991,Jul,Chinook,WA,4.05698877567833,57.8,213797
1991,Aug,Chinook,WA,6.28077030067586,534.2,1451507
1991,Sep,Chinook,WA,6.56018164928975,706.4,1320404
1991,Oct,Chinook,WA,5.67091487103058,290.3,728513
1991,Nov,Chinook,WA,4.18052225846315,65.4,70733
1991,Dec,Chinook,WA,3.49347265777133,32.9,96341
1992,Jan,Chinook,WA,3.04452243772342,21,59990
1992,Feb,Chinook,WA,3.30321697330195,27.2,132996
1992,Mar,Chinook,WA,2.09186406167839,8.1,24661
1992,Apr,Chinook,WA,3.35689712276558,28.7,124170
1992,May,Chinook,WA,5.27197339120843,194.8,869381
1992,Jun,Chinook,WA,4.79164975293071,120.5,514772
1992,Jul,Chinook,WA,4.28771595520264,72.8,291678
1992,Aug,Chinook,WA,6.1222734872194,455.9,1468538
1992,Sep,Chinook,WA,6.31698416503906,553.9,1210499
1992,Oct,Chinook,WA,5.47730002207648,239.2,646938
1992,Nov,Chinook,WA,2.90142159408275,18.2,39877
1992,Dec,Chinook,WA,1.70474809223843,5.5,15137
1993,Jan,Chinook,WA,1.25276296849537,3.5,11428
1993,Feb,Chinook,WA,1.66770682055808,5.3,23786
1993,Mar,Chinook,WA,1.66770682055808,5.3,24034
1993,Apr,Chinook,WA,2.64617479738412,14.1,53326
1993,May,Chinook,WA,4.77996347636125,119.1,518508
1993,Jun,Chinook,WA,4.41158543691543,82.4,345877
1993,Jul,Chinook,WA,3.94158180766969,51.5,171459
1993,Aug,Chinook,WA,5.90726738830723,367.7,817896
1993,Sep,Chinook,WA,6.08745631276171,440.3,877101
1993,Oct,Chinook,WA,5.38952824660142,219.1,463176
1993,Nov,Chinook,WA,2.56494935746154,13,15921
1993,Dec,Chinook,WA,1.66770682055808,5.3,16507
1994,Jan,Chinook,WA,1.54756250871601,4.7,15674
1994,Feb,Chinook,WA,0.693147180559945,2,8559
1994,Mar,Chinook,WA,1.88706964903238,6.6,48693
1994,Apr,Chinook,WA,2.17475172148416,8.8,47585
1994,May,Chinook,WA,2.21920348405499,9.2,51656
1994,Jun,Chinook,WA,3.39450839351136,29.8,126948
1994,Jul,Chinook,WA,2.46809953147162,11.8,36957
1994,Aug,Chinook,WA,6.05888952342277,427.9,1179403
1994,Sep,Chinook,WA,6.02489932319422,413.6,957859
1994,Oct,Chinook,WA,5.27402467397899,195.2,389246
1994,Nov,Chinook,WA,1.87180217690159,6.5,11613
1994,Dec,Chinook,WA,0.405465108108164,1.5,2721
1995,Jan,Chinook,WA,0.262364264467491,1.3,4118
1995,Feb,Chinook,WA,0.182321556793955,1.2,3880
1995,Mar,Chinook,WA,-0.356674943938732,0.7,3046
1995,Apr,Chinook,WA,1.45861502269952,4.3,27740
1995,May,Chinook,WA,1.77495235091167,5.9,39775
1995,Jun,Chinook,WA,2.07944154167984,8,50636
1995,Jul,Chinook,WA,2.77258872223978,16,46776
1995,Aug,Chinook,WA,5.78751069018691,326.2,740191
1995,Sep,Chinook,WA,6.14311209671712,465.5,660790
1995,Oct,Chinook,WA,5.46806014113513,237,404204
1995,Nov,Chinook,WA,2.72785282839839,15.3,18229
1995,Dec,Chinook,WA,0.693147180559945,2,5827
1996,Jan,Chinook,WA,NA,NA,NA
1996,Feb,Chinook,WA,0.8754687373539,2.4,7604
1996,Mar,Chinook,WA,-0.105360515657826,0.9,2805
1996,Apr,Chinook,WA,2.90690105984738,18.3,64568
1996,May,Chinook,WA,2.34180580614733,10.4,37688
1996,Jun,Chinook,WA,3.00568260440716,20.2,70689
1996,Jul,Chinook,WA,3.01062088604774,20.3,58973
1996,Aug,Chinook,WA,6.0318864616069,416.5,860786
1996,Sep,Chinook,WA,6.59959835334097,734.8,914034
1996,Oct,Chinook,WA,5.30826769740121,202,279747
1996,Nov,Chinook,WA,1.98787434815435,7.3,12974
1996,Dec,Chinook,WA,0.53062825106217,1.7,4166
1997,Jan,Chinook,WA,-0.22314355131421,0.8,1816
1997,Feb,Chinook,WA,-0.105360515657826,0.9,2525
1997,Mar,Chinook,WA,-2.30258509299405,0.1,1152
1997,Apr,Chinook,WA,3.86911550441687,47.9,289122
1997,May,Chinook,WA,3.77734810210154,43.7,166859
1997,Jun,Chinook,WA,3.79548918917219,44.5,103962
1997,Jul,Chinook,WA,2.64617479738412,14.1,29868
1997,Aug,Chinook,WA,6.1452580202874,466.5,873749
1997,Sep,Chinook,WA,6.53785034627252,690.8,1016841
1997,Oct,Chinook,WA,4.89783979995091,134,150228
1997,Nov,Chinook,WA,1.79175946922805,6,5989
1997,Dec,Chinook,WA,NA,NA,NA
1998,Jan,Chinook,WA,NA,NA,NA
1998,Feb,Chinook,WA,NA,NA,NA
1998,Mar,Chinook,WA,NA,NA,NA
1998,Apr,Chinook,WA,-0.916290731874155,0.4,1912
1998,May,Chinook,WA,4.16511363311031,64.4,180219
1998,Jun,Chinook,WA,3.61091791264422,37,90936
1998,Jul,Chinook,WA,2.09186406167839,8.1,20752
1998,Aug,Chinook,WA,5.5671988095361,261.7,511081
1998,Sep,Chinook,WA,5.90454407507728,366.7,469951
1998,Oct,Chinook,WA,4.66438204561994,106.1,217932
1998,Nov,Chinook,WA,2.74727091425549,15.6,5542
1998,Dec,Chinook,WA,-2.30258509299405,0.1,176
1999,Jan,Chinook,WA,-0.916290731874155,0.4,1365
1999,Feb,Chinook,WA,NA,NA,NA
1999,Mar,Chinook,WA,-2.30258509299405,0.1,260
1999,Apr,Chinook,WA,NA,NA,NA
1999,May,Chinook,WA,3.58351893845611,36,158881
1999,Jun,Chinook,WA,4.72295322164447,112.5,327167
1999,Jul,Chinook,WA,4.22390976657674,68.3,165585
1999,Aug,Chinook,WA,5.54165562514777,255.1,526665
1999,Sep,Chinook,WA,6.18785336111337,486.8,599474
1999,Oct,Chinook,WA,4.59309760475382,98.8,246076
1999,Nov,Chinook,WA,2.16332302566054,8.7,3846
1999,Dec,Chinook,WA,-1.20397280432594,0.3,775
2000,Jan,Chinook,WA,NA,NA,NA
2000,Feb,Chinook,WA,NA,NA,NA
2000,Mar,Chinook,WA,NA,NA,NA
2000,Apr,Chinook,WA,NA,NA,NA
2000,May,Chinook,WA,NA,NA,NA
2000,Jun,Chinook,WA,NA,NA,NA
2000,Jul,Chinook,WA,NA,NA,NA
2000,Aug,Chinook,WA,NA,NA,NA
2000,Sep,Chinook,WA,NA,NA,NA
2000,Oct,Chinook,WA,NA,NA,NA
2000,Nov,Chinook,WA,NA,NA,NA
2000,Dec,Chinook,WA,NA,NA,NA
2001,Jan,Chinook,WA,NA,NA,NA
2001,Feb,Chinook,WA,NA,NA,NA
2001,Mar,Chinook,WA,NA,NA,NA
2001,Apr,Chinook,WA,NA,NA,NA
2001,May,Chinook,WA,NA,NA,NA
2001,Jun,Chinook,WA,NA,NA,NA
2001,Jul,Chinook,WA,NA,NA,NA
2001,Aug,Chinook,WA,NA,NA,NA
2001,Sep,Chinook,WA,NA,NA,NA
2001,Oct,Chinook,WA,NA,NA,NA
2001,Nov,Chinook,WA,NA,NA,NA
2001,Dec,Chinook,WA,NA,NA,NA
2002,Jan,Chinook,WA,NA,NA,NA
2002,Feb,Chinook,WA,NA,NA,NA
2002,Mar,Chinook,WA,NA,NA,NA
2002,Apr,Chinook,WA,NA,NA,NA
2002,May,Chinook,WA,NA,NA,NA
2002,Jun,Chinook,WA,NA,NA,NA
2002,Jul,Chinook,WA,NA,NA,NA
2002,Aug,Chinook,WA,NA,NA,NA
2002,Sep,Chinook,WA,NA,NA,NA
2002,Oct,Chinook,WA,NA,NA,NA
2002,Nov,Chinook,WA,NA,NA,NA
2002,Dec,Chinook,WA,NA,NA,NA
2003,Jan,Chinook,WA,NA,NA,NA
2003,Feb,Chinook,WA,NA,NA,NA
2003,Mar,Chinook,WA,NA,NA,NA
2003,Apr,Chinook,WA,NA,NA,NA
2003,May,Chinook,WA,NA,NA,NA
2003,Jun,Chinook,WA,NA,NA,NA
2003,Jul,Chinook,WA,NA,NA,NA
2003,Aug,Chinook,WA,NA,NA,NA
2003,Sep,Chinook,WA,NA,NA,NA
2003,Oct,Chinook,WA,NA,NA,NA
2003,Nov,Chinook,WA,NA,NA,NA
2003,Dec,Chinook,WA,NA,NA,NA
2004,Jan,Chinook,WA,NA,NA,NA
2004,Feb,Chinook,WA,NA,NA,NA
2004,Mar,Chinook,WA,NA,NA,NA
2004,Apr,Chinook,WA,NA,NA,NA
2004,May,Chinook,WA,NA,NA,NA
2004,Jun,Chinook,WA,NA,NA,NA
2004,Jul,Chinook,WA,NA,NA,NA
2004,Aug,Chinook,WA,NA,NA,NA
2004,Sep,Chinook,WA,NA,NA,NA
2004,Oct,Chinook,WA,NA,NA,NA
2004,Nov,Chinook,WA,NA,NA,NA
2004,Dec,Chinook,WA,NA,NA,NA
2005,Jan,Chinook,WA,NA,NA,NA
2005,Feb,Chinook,WA,NA,NA,NA
2005,Mar,Chinook,WA,NA,NA,NA
2005,Apr,Chinook,WA,NA,NA,NA
2005,May,Chinook,WA,NA,NA,NA
2005,Jun,Chinook,WA,NA,NA,NA
2005,Jul,Chinook,WA,NA,NA,NA
2005,Aug,Chinook,WA,NA,NA,NA
2005,Sep,Chinook,WA,NA,NA,NA
2005,Oct,Chinook,WA,NA,NA,NA
2005,Nov,Chinook,WA,NA,NA,NA
2005,Dec,Chinook,WA,NA,NA,NA
2006,Jan,Chinook,WA,NA,NA,NA
2006,Feb,Chinook,WA,NA,NA,NA
2006,Mar,Chinook,WA,NA,NA,NA
2006,Apr,Chinook,WA,NA,NA,NA
2006,May,Chinook,WA,NA,NA,NA
2006,Jun,Chinook,WA,NA,NA,NA
2006,Jul,Chinook,WA,NA,NA,NA
2006,Aug,Chinook,WA,NA,NA,NA
2006,Sep,Chinook,WA,NA,NA,NA
2006,Oct,Chinook,WA,NA,NA,NA
2006,Nov,Chinook,WA,NA,NA,NA
2006,Dec,Chinook,WA,NA,NA,NA
2007,Jan,Chinook,WA,NA,NA,NA
2007,Feb,Chinook,WA,NA,NA,NA
2007,Mar,Chinook,WA,NA,NA,NA
2007,Apr,Chinook,WA,NA,NA,NA
2007,May,Chinook,WA,NA,NA,NA
2007,Jun,Chinook,WA,NA,NA,NA
2007,Jul,Chinook,WA,NA,NA,NA
2007,Aug,Chinook,WA,NA,NA,NA
2007,Sep,Chinook,WA,NA,NA,NA
2007,Oct,Chinook,WA,NA,NA,NA
2007,Nov,Chinook,WA,NA,NA,NA
2007,Dec,Chinook,WA,NA,NA,NA
2008,Jan,Chinook,WA,NA,NA,NA
2008,Feb,Chinook,WA,NA,NA,NA
2008,Mar,Chinook,WA,NA,NA,NA
2008,Apr,Chinook,WA,NA,NA,NA
2008,May,Chinook,WA,NA,NA,NA
2008,Jun,Chinook,WA,NA,NA,NA
2008,Jul,Chinook,WA,NA,NA,NA
2008,Aug,Chinook,WA,NA,NA,NA
2008,Sep,Chinook,WA,NA,NA,NA
2008,Oct,Chinook,WA,NA,NA,NA
2008,Nov,Chinook,WA,NA,NA,NA
2008,Dec,Chinook,WA,NA,NA,NA
2009,Jan,Chinook,WA,NA,NA,NA
2009,Feb,Chinook,WA,NA,NA,NA
2009,Mar,Chinook,WA,NA,NA,NA
2009,Apr,Chinook,WA,NA,NA,NA
2009,May,Chinook,WA,NA,NA,NA
2009,Jun,Chinook,WA,NA,NA,NA
2009,Jul,Chinook,WA,NA,NA,NA
2009,Aug,Chinook,WA,NA,NA,NA
2009,Sep,Chinook,WA,NA,NA,NA
2009,Oct,Chinook,WA,NA,NA,NA
2009,Nov,Chinook,WA,NA,NA,NA
2009,Dec,Chinook,WA,NA,NA,NA
2010,Jan,Chinook,WA,NA,NA,NA
2010,Feb,Chinook,WA,NA,NA,NA
2010,Mar,Chinook,WA,NA,NA,NA
2010,Apr,Chinook,WA,NA,NA,NA
2010,May,Chinook,WA,NA,NA,NA
2010,Jun,Chinook,WA,NA,NA,NA
2010,Jul,Chinook,WA,NA,NA,NA
2010,Aug,Chinook,WA,NA,NA,NA
2010,Sep,Chinook,WA,NA,NA,NA
2010,Oct,Chinook,WA,NA,NA,NA
2010,Nov,Chinook,WA,NA,NA,NA
2010,Dec,Chinook,WA,NA,NA,NA
2011,Jan,Chinook,WA,NA,NA,NA
2011,Feb,Chinook,WA,NA,NA,NA
2011,Mar,Chinook,WA,NA,NA,NA
2011,Apr,Chinook,WA,NA,NA,NA
2011,May,Chinook,WA,NA,NA,NA
2011,Jun,Chinook,WA,NA,NA,NA
2011,Jul,Chinook,WA,NA,NA,NA
2011,Aug,Chinook,WA,NA,NA,NA
2011,Sep,Chinook,WA,NA,NA,NA
2011,Oct,Chinook,WA,NA,NA,NA
2011,Nov,Chinook,WA,NA,NA,NA
2011,Dec,Chinook,WA,NA,NA,NA
2012,Jan,Chinook,WA,NA,NA,NA
2012,Feb,Chinook,WA,NA,NA,NA
2012,Mar,Chinook,WA,NA,NA,NA
2012,Apr,Chinook,WA,NA,NA,NA
2012,May,Chinook,WA,NA,NA,NA
2012,Jun,Chinook,WA,NA,NA,NA
2012,Jul,Chinook,WA,NA,NA,NA
2012,Aug,Chinook,WA,NA,NA,NA
2012,Sep,Chinook,WA,NA,NA,NA
2012,Oct,Chinook,WA,NA,NA,NA
2012,Nov,Chinook,WA,NA,NA,NA
2012,Dec,Chinook,WA,NA,NA,NA
2013,Jan,Chinook,WA,NA,NA,NA
2013,Feb,Chinook,WA,NA,NA,NA
2013,Mar,Chinook,WA,NA,NA,NA
2013,Apr,Chinook,WA,NA,NA,NA
2013,May,Chinook,WA,NA,NA,NA
2013,Jun,Chinook,WA,NA,NA,NA
2013,Jul,Chinook,WA,NA,NA,NA
2013,Aug,Chinook,WA,NA,NA,NA
2013,Sep,Chinook,WA,NA,NA,NA
2013,Oct,Chinook,WA,NA,NA,NA
2013,Nov,Chinook,WA,NA,NA,NA
2013,Dec,Chinook,WA,NA,NA,NA
2014,Jan,Chinook,WA,1.43508452528932,4.2,49522
2014,Feb,Chinook,WA,0.53062825106217,1.7,19943
2014,Mar,Chinook,WA,0.741937344729377,2.1,33685
2014,Apr,Chinook,WA,1.85629799036563,6.4,102815
2014,May,Chinook,WA,5.50817302353531,246.7,2940214
2014,Jun,Chinook,WA,5.26734256224861,193.9,2067862
2014,Jul,Chinook,WA,5.59879226079857,270.1,2003012
2014,Aug,Chinook,WA,6.24649428728451,516.2,2812219
2014,Sep,Chinook,WA,NA,NA,5919031
2014,Oct,Chinook,WA,5.75161980407036,314.7,849065
2014,Nov,Chinook,WA,1.97408102602201,7.2,12308
2014,Dec,Chinook,WA,-0.22314355131421,0.8,7786
2015,Jan,Chinook,WA,0.693147180559945,2,24196
2015,Feb,Chinook,WA,1.3609765531356,3.9,43838
2015,Mar,Chinook,WA,1.56861591791385,4.8,98194
2015,Apr,Chinook,WA,1.96009478404727,7.1,116997
2015,May,Chinook,WA,5.33945930987921,208.4,2651173
2015,Jun,Chinook,WA,5.78043482617728,323.9,2635351
2015,Jul,Chinook,WA,5.9482960517066,383.1,2635669
2015,Aug,Chinook,WA,6.24552520105691,515.7,3375904
2015,Sep,Chinook,WA,NA,NA,6849101
2015,Oct,Chinook,WA,5.46128619482618,235.4,715761
2015,Nov,Chinook,WA,2.50959926237837,12.3,24123
2015,Dec,Chinook,WA,-1.6094379124341,0.2,581
2016,Jan,Chinook,WA,NA,NA,NA
2016,Feb,Chinook,WA,NA,NA,NA
