Year,Month,Species,State,log.metric.tons,metric.tons,Value
2016,Mar,Chinook,WA,NA,NA,NA
2016,Apr,Chinook,WA,NA,NA,NA
2016,May,Chinook,WA,NA,NA,NA
2016,Jun,Chinook,WA,NA,NA,NA
2016,Jul,Chinook,WA,NA,NA,NA
2016,Aug,Chinook,WA,NA,NA,NA
2016,Sep,Chinook,WA,NA,NA,NA
2016,Oct,Chinook,WA,NA,NA,NA
2016,Nov,Chinook,WA,NA,NA,NA
2016,Dec,Chinook,WA,NA,NA,NA
1990,Jan,Chinook,OR,NA,NA,NA
1990,Feb,Chinook,OR,4.07584109065754,58.9,455722
1990,Mar,Chinook,OR,3.72569342723665,41.5,290576
1990,Apr,Chinook,OR,NA,NA,NA
1990,May,Chinook,OR,4.33204826486764,76.1,368990
1990,Jun,Chinook,OR,5.15213485636996,172.8,869060
1990,Jul,Chinook,OR,6.25363648538967,519.9,2532695
1990,Aug,Chinook,OR,6.08745631276171,440.3,1754885
1990,Sep,Chinook,OR,6.26110993207361,523.8,1499534
1990,Oct,Chinook,OR,4.28496492183075,72.6,285390
1990,Nov,Chinook,OR,-2.30258509299405,0.1,504
1990,Dec,Chinook,OR,NA,NA,NA
1991,Jan,Chinook,OR,NA,NA,NA
1991,Feb,Chinook,OR,4.2297491992283,68.7,533728
1991,Mar,Chinook,OR,1.16315080980568,3.2,24825
1991,Apr,Chinook,OR,NA,NA,NA
1991,May,Chinook,OR,2.94968833505258,19.1,105180
1991,Jun,Chinook,OR,4.18965474202643,66,337884
1991,Jul,Chinook,OR,4.03600898520914,56.6,249274
1991,Aug,Chinook,OR,4.78498861256393,119.7,398782
1991,Sep,Chinook,OR,5.88248638453824,358.7,870146
1991,Oct,Chinook,OR,4.80155899999348,121.7,406380
1991,Nov,Chinook,OR,-0.510825623765991,0.6,753
1991,Dec,Chinook,OR,NA,NA,NA
1992,Jan,Chinook,OR,NA,NA,NA
1992,Feb,Chinook,OR,3.47196645255036,32.2,213695
1992,Mar,Chinook,OR,NA,NA,NA
1992,Apr,Chinook,OR,NA,NA,NA
1992,May,Chinook,OR,4.65396035015752,105,508506
1992,Jun,Chinook,OR,2.50143595173921,12.2,60956
1992,Jul,Chinook,OR,4.77912349311153,119,557496
1992,Aug,Chinook,OR,4.98975208317983,146.9,657502
1992,Sep,Chinook,OR,5.43066055353575,228.3,637063
1992,Oct,Chinook,OR,4.75960653929251,116.7,482097
1992,Nov,Chinook,OR,NA,NA,NA
1992,Dec,Chinook,OR,NA,NA,NA
1993,Jan,Chinook,OR,NA,NA,NA
1993,Feb,Chinook,OR,1.16315080980568,3.2,21011
1993,Mar,Chinook,OR,1.85629799036563,6.4,44397
1993,Apr,Chinook,OR,0.641853886172395,1.9,13324
1993,May,Chinook,OR,4.68398136641238,108.2,484863
1993,Jun,Chinook,OR,4.28082412916472,72.3,293179
1993,Jul,Chinook,OR,4.04480411666196,57.1,233599
1993,Aug,Chinook,OR,4.30541553230204,74.1,235684
1993,Sep,Chinook,OR,5.6777806721172,292.3,634357
1993,Oct,Chinook,OR,3.99452422693989,54.3,189741
1993,Nov,Chinook,OR,1.84054963339749,6.3,26097
1993,Dec,Chinook,OR,NA,NA,NA
1994,Jan,Chinook,OR,NA,NA,NA
1994,Feb,Chinook,OR,-0.510825623765991,0.6,3813
1994,Mar,Chinook,OR,2.17475172148416,8.8,65548
1994,Apr,Chinook,OR,-0.510825623765991,0.6,4462
1994,May,Chinook,OR,3.79323946943818,44.4,197254
1994,Jun,Chinook,OR,3.87328217711172,48.1,211051
1994,Jul,Chinook,OR,0,1,4090
1994,Aug,Chinook,OR,3.47196645255036,32.2,52951
1994,Sep,Chinook,OR,4.716711560721,111.8,204230
1994,Oct,Chinook,OR,4.33204826486764,76.1,257401
1994,Nov,Chinook,OR,1.22377543162212,3.4,18055
1994,Dec,Chinook,OR,NA,NA,NA
1995,Jan,Chinook,OR,NA,NA,NA
1995,Feb,Chinook,OR,NA,NA,NA
1995,Mar,Chinook,OR,NA,NA,NA
1995,Apr,Chinook,OR,NA,NA,NA
1995,May,Chinook,OR,4.18965474202643,66,273108
1995,Jun,Chinook,OR,4.93878119032827,139.6,528535
1995,Jul,Chinook,OR,3.58073729549423,35.9,125663
1995,Aug,Chinook,OR,6.11168904441435,451.1,1366262
1995,Sep,Chinook,OR,5.85993115714613,350.7,714466
1995,Oct,Chinook,OR,4.8955984841079,133.7,412146
1995,Nov,Chinook,OR,1.25276296849537,3.5,10946
1995,Dec,Chinook,OR,NA,NA,NA
1996,Jan,Chinook,OR,NA,NA,NA
1996,Feb,Chinook,OR,-0.356674943938732,0.7,6085
1996,Mar,Chinook,OR,NA,NA,NA
1996,Apr,Chinook,OR,NA,NA,NA
1996,May,Chinook,OR,4.73180283692146,113.5,363553
1996,Jun,Chinook,OR,5.59024043325707,267.8,811099
1996,Jul,Chinook,OR,3.05400118167797,21.2,55616
1996,Aug,Chinook,OR,5.95038210200675,383.9,1073982
1996,Sep,Chinook,OR,5.70877001616724,301.5,563636
1996,Oct,Chinook,OR,4.41642806139121,82.8,229225
1996,Nov,Chinook,OR,2.57261223020711,13.1,46901
1996,Dec,Chinook,OR,NA,NA,NA
1997,Jan,Chinook,OR,-2.30258509299405,0.1,603
1997,Feb,Chinook,OR,-0.356674943938732,0.7,8100
1997,Mar,Chinook,OR,NA,NA,NA
1997,Apr,Chinook,OR,3.79098467705109,44.3,184255
1997,May,Chinook,OR,5.23057371446152,186.9,653742
1997,Jun,Chinook,OR,5.33513133967075,207.5,548979
1997,Jul,Chinook,OR,NA,NA,NA
1997,Aug,Chinook,OR,5.46425544409147,236.1,669166
1997,Sep,Chinook,OR,5.3831179682405,217.7,454357
1997,Oct,Chinook,OR,3.81109708683819,45.2,115391
1997,Nov,Chinook,OR,1.7404661748405,5.7,20876
1997,Dec,Chinook,OR,NA,NA,NA
1998,Jan,Chinook,OR,NA,NA,NA
1998,Feb,Chinook,OR,-1.6094379124341,0.2,1801
1998,Mar,Chinook,OR,-0.693147180559945,0.5,5410
1998,Apr,Chinook,OR,4.58394654953646,97.9,369404
1998,May,Chinook,OR,5.54907608489522,257,816210
1998,Jun,Chinook,OR,5.22843123908387,186.5,517738
1998,Jul,Chinook,OR,3.23080439573347,25.3,70586
1998,Aug,Chinook,OR,4.88658264542628,132.5,392332
1998,Sep,Chinook,OR,4.14630430115281,63.2,137643
1998,Oct,Chinook,OR,3.56104608260405,35.2,118571
1998,Nov,Chinook,OR,2.07944154167984,8,36040
1998,Dec,Chinook,OR,NA,NA,NA
1999,Jan,Chinook,OR,NA,NA,NA
1999,Feb,Chinook,OR,-2.30258509299405,0.1,1482
1999,Mar,Chinook,OR,NA,NA,NA
1999,Apr,Chinook,OR,1.7227665977411,5.6,30904
1999,May,Chinook,OR,3.72569342723665,41.5,226898
1999,Jun,Chinook,OR,5.11978860799278,167.3,535889
1999,Jul,Chinook,OR,3.4307561839037,30.9,105388
1999,Aug,Chinook,OR,4.73268350628705,113.6,382548
1999,Sep,Chinook,OR,4.43793426661218,84.6,150552
1999,Oct,Chinook,OR,3.49347265777133,32.9,145043
1999,Nov,Chinook,OR,2.3887627892351,10.9,62941
1999,Dec,Chinook,OR,NA,NA,NA
2000,Jan,Chinook,OR,NA,NA,NA
2000,Feb,Chinook,OR,NA,NA,NA
2000,Mar,Chinook,OR,NA,NA,NA
2000,Apr,Chinook,OR,NA,NA,NA
2000,May,Chinook,OR,NA,NA,NA
2000,Jun,Chinook,OR,NA,NA,NA
2000,Jul,Chinook,OR,NA,NA,NA
2000,Aug,Chinook,OR,NA,NA,NA
2000,Sep,Chinook,OR,NA,NA,NA
2000,Oct,Chinook,OR,NA,NA,NA
2000,Nov,Chinook,OR,NA,NA,NA
2000,Dec,Chinook,OR,NA,NA,NA
2001,Jan,Chinook,OR,NA,NA,NA
2001,Feb,Chinook,OR,NA,NA,NA
2001,Mar,Chinook,OR,NA,NA,NA
2001,Apr,Chinook,OR,NA,NA,NA
2001,May,Chinook,OR,NA,NA,NA
2001,Jun,Chinook,OR,NA,NA,NA
2001,Jul,Chinook,OR,NA,NA,NA
2001,Aug,Chinook,OR,NA,NA,NA
2001,Sep,Chinook,OR,NA,NA,NA
2001,Oct,Chinook,OR,NA,NA,NA
2001,Nov,Chinook,OR,NA,NA,NA
2001,Dec,Chinook,OR,NA,NA,NA
2002,Jan,Chinook,OR,NA,NA,NA
2002,Feb,Chinook,OR,NA,NA,NA
2002,Mar,Chinook,OR,NA,NA,NA
2002,Apr,Chinook,OR,NA,NA,NA
2002,May,Chinook,OR,NA,NA,NA
2002,Jun,Chinook,OR,NA,NA,NA
2002,Jul,Chinook,OR,NA,NA,NA
2002,Aug,Chinook,OR,NA,NA,NA
2002,Sep,Chinook,OR,NA,NA,NA
2002,Oct,Chinook,OR,NA,NA,NA
2002,Nov,Chinook,OR,NA,NA,NA
2002,Dec,Chinook,OR,NA,NA,NA
2003,Jan,Chinook,OR,NA,NA,NA
2003,Feb,Chinook,OR,NA,NA,NA
2003,Mar,Chinook,OR,NA,NA,NA
2003,Apr,Chinook,OR,NA,NA,NA
2003,May,Chinook,OR,NA,NA,NA
2003,Jun,Chinook,OR,NA,NA,NA
2003,Jul,Chinook,OR,NA,NA,NA
2003,Aug,Chinook,OR,NA,NA,NA
2003,Sep,Chinook,OR,NA,NA,NA
2003,Oct,Chinook,OR,NA,NA,NA
2003,Nov,Chinook,OR,NA,NA,NA
2003,Dec,Chinook,OR,NA,NA,NA
2004,Jan,Chinook,OR,NA,NA,NA
2004,Feb,Chinook,OR,NA,NA,NA
2004,Mar,Chinook,OR,NA,NA,NA
2004,Apr,Chinook,OR,NA,NA,NA
2004,May,Chinook,OR,NA,NA,NA
2004,Jun,Chinook,OR,NA,NA,NA
2004,Jul,Chinook,OR,NA,NA,NA
2004,Aug,Chinook,OR,NA,NA,NA
2004,Sep,Chinook,OR,NA,NA,NA
2004,Oct,Chinook,OR,NA,NA,NA
2004,Nov,Chinook,OR,NA,NA,NA
2004,Dec,Chinook,OR,NA,NA,NA
2005,Jan,Chinook,OR,NA,NA,NA
2005,Feb,Chinook,OR,NA,NA,NA
2005,Mar,Chinook,OR,NA,NA,NA
2005,Apr,Chinook,OR,NA,NA,NA
2005,May,Chinook,OR,NA,NA,NA
2005,Jun,Chinook,OR,NA,NA,NA
2005,Jul,Chinook,OR,NA,NA,NA
2005,Aug,Chinook,OR,NA,NA,NA
2005,Sep,Chinook,OR,NA,NA,NA
2005,Oct,Chinook,OR,NA,NA,NA
2005,Nov,Chinook,OR,NA,NA,NA
2005,Dec,Chinook,OR,NA,NA,NA
2006,Jan,Chinook,OR,NA,NA,NA
2006,Feb,Chinook,OR,NA,NA,NA
2006,Mar,Chinook,OR,NA,NA,NA
2006,Apr,Chinook,OR,NA,NA,NA
2006,May,Chinook,OR,NA,NA,NA
2006,Jun,Chinook,OR,NA,NA,NA
2006,Jul,Chinook,OR,NA,NA,NA
2006,Aug,Chinook,OR,NA,NA,NA
2006,Sep,Chinook,OR,NA,NA,NA
2006,Oct,Chinook,OR,NA,NA,NA
2006,Nov,Chinook,OR,NA,NA,NA
2006,Dec,Chinook,OR,NA,NA,NA
2007,Jan,Chinook,OR,NA,NA,NA
2007,Feb,Chinook,OR,NA,NA,NA
2007,Mar,Chinook,OR,NA,NA,NA
2007,Apr,Chinook,OR,NA,NA,NA
2007,May,Chinook,OR,NA,NA,NA
2007,Jun,Chinook,OR,NA,NA,NA
2007,Jul,Chinook,OR,NA,NA,NA
2007,Aug,Chinook,OR,NA,NA,NA
2007,Sep,Chinook,OR,NA,NA,NA
2007,Oct,Chinook,OR,NA,NA,NA
2007,Nov,Chinook,OR,NA,NA,NA
2007,Dec,Chinook,OR,NA,NA,NA
2008,Jan,Chinook,OR,NA,NA,NA
2008,Feb,Chinook,OR,NA,NA,NA
2008,Mar,Chinook,OR,NA,NA,NA
2008,Apr,Chinook,OR,NA,NA,NA
2008,May,Chinook,OR,NA,NA,NA
2008,Jun,Chinook,OR,NA,NA,NA
2008,Jul,Chinook,OR,NA,NA,NA
2008,Aug,Chinook,OR,NA,NA,NA
2008,Sep,Chinook,OR,NA,NA,NA
2008,Oct,Chinook,OR,NA,NA,NA
2008,Nov,Chinook,OR,NA,NA,NA
2008,Dec,Chinook,OR,NA,NA,NA
2009,Jan,Chinook,OR,NA,NA,NA
2009,Feb,Chinook,OR,NA,NA,NA
2009,Mar,Chinook,OR,NA,NA,NA
2009,Apr,Chinook,OR,NA,NA,NA
2009,May,Chinook,OR,NA,NA,NA
2009,Jun,Chinook,OR,NA,NA,NA
2009,Jul,Chinook,OR,NA,NA,NA
2009,Aug,Chinook,OR,NA,NA,NA
2009,Sep,Chinook,OR,NA,NA,NA
2009,Oct,Chinook,OR,NA,NA,NA
2009,Nov,Chinook,OR,NA,NA,NA
2009,Dec,Chinook,OR,NA,NA,NA
2010,Jan,Chinook,OR,NA,NA,NA
2010,Feb,Chinook,OR,NA,NA,NA
2010,Mar,Chinook,OR,NA,NA,NA
2010,Apr,Chinook,OR,NA,NA,NA
2010,May,Chinook,OR,NA,NA,NA
2010,Jun,Chinook,OR,NA,NA,NA
2010,Jul,Chinook,OR,NA,NA,NA
2010,Aug,Chinook,OR,NA,NA,NA
2010,Sep,Chinook,OR,NA,NA,NA
2010,Oct,Chinook,OR,NA,NA,NA
2010,Nov,Chinook,OR,NA,NA,NA
2010,Dec,Chinook,OR,NA,NA,NA
2011,Jan,Chinook,OR,NA,NA,NA
2011,Feb,Chinook,OR,NA,NA,NA
2011,Mar,Chinook,OR,NA,NA,NA
2011,Apr,Chinook,OR,NA,NA,NA
2011,May,Chinook,OR,NA,NA,NA
2011,Jun,Chinook,OR,NA,NA,NA
2011,Jul,Chinook,OR,NA,NA,NA
2011,Aug,Chinook,OR,NA,NA,NA
2011,Sep,Chinook,OR,NA,NA,NA
2011,Oct,Chinook,OR,NA,NA,NA
2011,Nov,Chinook,OR,NA,NA,NA
2011,Dec,Chinook,OR,NA,NA,NA
2012,Jan,Chinook,OR,NA,NA,NA
2012,Feb,Chinook,OR,NA,NA,NA
2012,Mar,Chinook,OR,NA,NA,NA
2012,Apr,Chinook,OR,NA,NA,NA
2012,May,Chinook,OR,NA,NA,NA
2012,Jun,Chinook,OR,NA,NA,NA
2012,Jul,Chinook,OR,NA,NA,NA
2012,Aug,Chinook,OR,NA,NA,NA
2012,Sep,Chinook,OR,NA,NA,NA
2012,Oct,Chinook,OR,NA,NA,NA
2012,Nov,Chinook,OR,NA,NA,NA
2012,Dec,Chinook,OR,NA,NA,NA
2013,Jan,Chinook,OR,NA,NA,NA
2013,Feb,Chinook,OR,NA,NA,NA
2013,Mar,Chinook,OR,NA,NA,NA
2013,Apr,Chinook,OR,NA,NA,NA
2013,May,Chinook,OR,NA,NA,NA
2013,Jun,Chinook,OR,NA,NA,NA
2013,Jul,Chinook,OR,NA,NA,NA
2013,Aug,Chinook,OR,NA,NA,NA
2013,Sep,Chinook,OR,NA,NA,NA
2013,Oct,Chinook,OR,NA,NA,NA
2013,Nov,Chinook,OR,NA,NA,NA
2013,Dec,Chinook,OR,NA,NA,NA
2014,Jan,Chinook,OR,NA,NA,NA
2014,Feb,Chinook,OR,-2.30258509299405,0.1,1790
2014,Mar,Chinook,OR,0.916290731874155,2.5,60501
2014,Apr,Chinook,OR,4.77744140692854,118.8,1962137
2014,May,Chinook,OR,6.00462753363426,405.3,5122019
2014,Jun,Chinook,OR,5.37989735354046,217,2433270
2014,Jul,Chinook,OR,5.07267068501571,159.6,1422240
2014,Aug,Chinook,OR,6.43422543995984,622.8,4570272
2014,Sep,Chinook,OR,6.36147517423174,579.1,2266737
2014,Oct,Chinook,OR,4.25561270981822,70.5,345861
2014,Nov,Chinook,OR,1.38629436111989,4,54050
2014,Dec,Chinook,OR,NA,NA,NA
2015,Jan,Chinook,OR,NA,NA,NA
2015,Feb,Chinook,OR,-1.6094379124341,0.2,4356
2015,Mar,Chinook,OR,1.88706964903238,6.6,143804
2015,Apr,Chinook,OR,4.65776263610726,105.4,1875173
2015,May,Chinook,OR,5.09436350962697,163.1,2264247
2015,Jun,Chinook,OR,5.24755024949438,190.1,1779532
2015,Jul,Chinook,OR,5.31664832323276,203.7,1722504
2015,Aug,Chinook,OR,5.39771011042607,220.9,1461741
2015,Sep,Chinook,OR,5.96023184467688,387.7,1808592
2015,Oct,Chinook,OR,3.79548918917219,44.5,365415
2015,Nov,Chinook,OR,1.97408102602201,7.2,112476
2015,Dec,Chinook,OR,NA,NA,NA
2016,Jan,Chinook,OR,NA,NA,NA
2016,Feb,Chinook,OR,NA,NA,NA
2016,Mar,Chinook,OR,NA,NA,NA
2016,Apr,Chinook,OR,NA,NA,NA
2016,May,Chinook,OR,NA,NA,NA
2016,Jun,Chinook,OR,NA,NA,NA
2016,Jul,Chinook,OR,NA,NA,NA
2016,Aug,Chinook,OR,NA,NA,NA
2016,Sep,Chinook,OR,NA,NA,NA
2016,Oct,Chinook,OR,NA,NA,NA
2016,Nov,Chinook,OR,NA,NA,NA
2016,Dec,Chinook,OR,NA,NA,NA
