Year,Species,State,log.metric.tons,metric.tons,Value
1950,Chinook,Alaska,8.61848544289811,5533,2267439
1951,Chinook,Alaska,8.87664228384432,7162.7,3037202
1952,Chinook,Alaska,8.80546508988645,6670.6,3349480
1953,Chinook,Alaska,8.77473043994931,6468.7,2718581
1954,Chinook,Alaska,8.61928035549959,5537.4,2324693
1955,Chinook,Alaska,8.57177606918653,5280.5,2308260
1956,Chinook,Alaska,8.33211584090848,4155.2,1849268
1957,Chinook,Alaska,8.44692093043088,4660.7,2202439
1958,Chinook,Alaska,8.51420874237528,4985.1,3025403
1959,Chinook,Alaska,8.57855166154718,5316.4,3002023
1960,Chinook,Alaska,8.32683139837637,4133.3,2557869
1961,Chinook,Alaska,8.26204284396694,3874,2243080
1962,Chinook,Alaska,8.28495844009025,3963.8,2698860
1963,Chinook,Alaska,8.33211584090848,4155.2,3126640
1964,Chinook,Alaska,8.56537364594099,5246.8,3661910
1965,Chinook,Alaska,8.51589234568319,4993.5,3048650
1966,Chinook,Alaska,8.35260152705164,4241.2,2948658
1967,Chinook,Alaska,8.57099932597476,5276.4,3100199
1968,Chinook,Alaska,8.53721148172999,5101.1,3865131
1969,Chinook,Alaska,8.49201896286752,4875.7,3506124
1970,Chinook,Alaska,8.56359956423039,5237.5,5034791
1971,Chinook,Alaska,8.59976807503991,5430.4,4688319
1972,Chinook,Alaska,8.41695287845298,4523.1,3700462
1973,Chinook,Alaska,8.3051626611056,4044.7,6661900
1974,Chinook,Alaska,8.34614386366016,4213.9,6918697
1975,Chinook,Alaska,8.0448187540245,3117.6,5258248
1976,Chinook,Alaska,8.30501430782672,4044.1,8446569
1977,Chinook,Alaska,8.61062888820175,5489.7,14499570
1978,Chinook,Alaska,8.90870811323768,7396.1,20309239
1979,Chinook,Alaska,8.82924099376977,6831.1,22751934
1980,Chinook,Alaska,8.64305021122907,5670.6,17782787
1981,Chinook,Alaska,8.87056468496608,7119.3,23666015
1982,Chinook,Alaska,8.94321880948958,7655.8,26949254
1983,Chinook,Alaska,8.86880735116175,7106.8,18220213
1984,Chinook,Alaska,8.64218573158312,5665.7,21727272
1985,Chinook,Alaska,8.7129408796486,6081.1,20700962
1986,Chinook,Alaska,8.57404600300902,5292.5,17700579
1987,Chinook,Alaska,8.69788007953373,5990.2,26691309
1988,Chinook,Alaska,8.48922572233218,4862.1,29275113
1989,Chinook,Alaska,8.49927359011329,4911.2,20387665
1990,Chinook,Alaska,8.50986641602978,4963.5,21101460
1991,Chinook,Alaska,8.44477302488616,4650.7,21804972
1992,Chinook,Alaska,8.45516884043584,4699.3,24140214
1993,Chinook,Alaska,8.49741896371679,4902.1,17528653
1994,Chinook,Alaska,8.53006992922992,5064.8,15768405
1995,Chinook,Alaska,8.60619259097882,5465.4,17517016
1996,Chinook,Alaska,8.31377873528302,4079.7,12470229
1997,Chinook,Alaska,8.5358186555394,5094,18038032
1998,Chinook,Alaska,8.3993551542473,4444.2,12607438
1999,Chinook,Alaska,8.08122763785969,3233.2,14268301
2000,Chinook,Alaska,7.77304740988448,2375.7,10282411
2001,Chinook,Alaska,7.80852619919825,2461.5,9362043
2002,Chinook,Alaska,8.3441960270426,4205.7,11052820
2003,Chinook,Alaska,8.42239887852969,4547.8,9302008
2004,Chinook,Alaska,8.63856090553985,5645.2,22877694
2005,Chinook,Alaska,8.49851992615062,4907.5,21023402
2006,Chinook,Alaska,8.46415100017869,4741.7,26760157
2007,Chinook,Alaska,8.29374959509303,3998.8,24578526
2008,Chinook,Alaska,7.72307584349976,2259.9,19898464
2009,Chinook,Alaska,7.74244542365169,2304.1,12397189
2010,Chinook,Alaska,7.80253632736841,2446.8,17278359
2011,Chinook,Alaska,7.93315150531899,2788.2,19747339
2012,Chinook,Alaska,7.67892774897985,2162.3,16522092
2013,Chinook,Alaska,7.49659694273277,1801.9,15170267
2014,Chinook,Alaska,7.99618254259188,2969.6,23556673
2015,Chinook,Alaska,7.95180577965756,2840.7,20333891
2016,Chinook,Alaska,7.78063734043927,2393.8,21534087
1950,Chinook,California,8.07284171425557,3206.2,1864174
1951,Chinook,California,8.0902797025022,3262.6,1972962
1952,Chinook,California,7.99274182406843,2959.4,1667733
1953,Chinook,California,8.11859445572535,3356.3,1797017
1954,Chinook,California,8.32239411311117,4115,2723371
1955,Chinook,California,8.57147302166257,5278.9,3868824
1956,Chinook,California,8.48561996157713,4844.6,3736994
1957,Chinook,California,7.7322376923721,2280.7,1704776
1958,Chinook,California,7.32863431314266,1523.3,1487203
1959,Chinook,California,7.93530111921639,2794.2,2805447
1960,Chinook,California,7.90835039390832,2719.9,3241382
1961,Chinook,California,8.20917234796893,3674.5,4509967
1962,Chinook,California,7.95798232149045,2858.3,3888881
1963,Chinook,California,8.03993128448839,3102.4,3623199
1964,Chinook,California,8.14040299989212,3430.3,4331619
1965,Chinook,California,8.11877320803471,3356.9,4133825
1966,Chinook,California,8.23392801676065,3766.6,4417942
1967,Chinook,California,7.49131078291199,1792.4,2325714
1968,Chinook,California,7.64616259094695,2092.6,2883320
1969,Chinook,California,7.70980170649807,2230.1,3260314
1970,Chinook,California,7.77909048505443,2390.1,4424216
1971,Chinook,California,7.71145945010673,2233.8,3220639
1972,Chinook,California,7.56454963007628,1928.6,3330357
1973,Chinook,California,8.03291212287236,3080.7,6665585
1974,Chinook,California,7.73626342747253,2289.9,5048577
1975,Chinook,California,7.87180707425455,2622.3,6123055
1976,Chinook,California,7.63433723562832,2068,7180142
1977,Chinook,California,7.84109976542212,2543,11484444
1978,Chinook,California,7.8171422345395,2482.8,9313671
1979,Chinook,California,8.13473146507304,3410.9,19325724
1980,Chinook,California,7.85306097592482,2573.6,12901396
1981,Chinook,California,7.96150966200842,2868.4,14231488
1982,Chinook,California,8.25335784543874,3840.5,19005933
1983,Chinook,California,7.00669522683704,1104,4310222
1984,Chinook,California,7.21428363923028,1358.7,7247790
1985,Chinook,California,7.76110621108242,2347.5,11531687
1986,Chinook,California,8.25022836055318,3828.5,14756054
1987,Chinook,California,8.45977592054629,4721,25137813
1988,Chinook,California,8.92488249084268,7516.7,41157965
1989,Chinook,California,7.97563340828039,2909.2,13319745
1990,Chinook,California,7.67289748671323,2149.3,11428073
1991,Chinook,California,7.4301141385618,1686,8334360
1992,Chinook,California,6.7448833460095,849.7,4459501
1993,Chinook,California,7.18629569351663,1321.2,5700519
1994,Chinook,California,7.38461038317697,1611,6400722
1995,Chinook,California,8.15090071838254,3466.5,11703077
1996,Chinook,California,7.67238556116395,2148.2,5991773
1997,Chinook,California,7.92124531423341,2755.2,7320537
1998,Chinook,California,6.87078004285724,963.7,3058029
1999,Chinook,California,7.60369854684408,2005.6,7427216
2000,Chinook,California,7.89416891028776,2681.6,10318907
2001,Chinook,California,7.13265728331121,1252.2,4760786
2002,Chinook,California,7.85076583555567,2567.7,7610882
2003,Chinook,California,8.10898432263701,3324.2,12153111
2004,Chinook,California,8.07915323737589,3226.5,17770036
2005,Chinook,California,7.71912984090673,2251,12804188
2006,Chinook,California,6.28637046464908,537.2,5260526
2007,Chinook,California,6.67266565664953,790.5,7835240
2008,Chinook,California,-0.510825623765991,0.6,5661
2009,Chinook,California,NA,NA,NA
2010,Chinook,California,4.75100063419963,115.7,1214959
2011,Chinook,California,6.24163943747322,513.7,5096433
2012,Chinook,California,7.16873396859937,1298.2,12849774
2013,Chinook,California,7.58441732328222,1967.3,22956869
2014,Chinook,California,7.05626148728136,1160.1,12126809
2015,Chinook,California,6.40902290290353,607.3,8058457
2016,Chinook,California,5.77299754367767,321.5,5276838
1950,Chinook,Oregon,8.25400859056484,3843,1931889
1951,Chinook,Oregon,8.34823001286517,4222.7,2521468
1952,Chinook,Oregon,8.19016026400977,3605.3,1899026
1953,Chinook,Oregon,8.01578970622915,3028.4,1537056
1954,Chinook,Oregon,7.88649485012878,2661.1,1441140
1955,Chinook,Oregon,8.36520683441836,4295,2559408
1956,Chinook,Oregon,8.4224208669418,4547.9,3090814
1957,Chinook,Oregon,8.03592636989179,3090,2037318
1958,Chinook,Oregon,7.91026040367172,2725.1,2022393
1959,Chinook,Oregon,7.41191875987458,1655.6,1198791
1960,Chinook,Oregon,7.57870797403231,1956.1,1696089
1961,Chinook,Oregon,7.57809432021607,1954.9,1767310
1962,Chinook,Oregon,7.62276179389498,2044.2,1788017
1963,Chinook,Oregon,7.67906648051144,2162.6,1714106
1964,Chinook,Oregon,7.50014245639093,1808.3,1376188
1965,Chinook,Oregon,7.75995538939668,2344.8,1714394
1966,Chinook,Oregon,7.41511490310495,1660.9,1344106
1967,Chinook,Oregon,7.655153874374,2111.5,1768506
1968,Chinook,Oregon,7.4471100488621,1714.9,1496104
1969,Chinook,Oregon,7.77262639270076,2374.7,2174875
1970,Chinook,Oregon,7.95959037609132,2862.9,3279975
1971,Chinook,Oregon,7.73004297636517,2275.7,2014035
1972,Chinook,Oregon,7.74387662849319,2307.4,2917661
1973,Chinook,Oregon,8.3787813372617,4353.7,7354734
1974,Chinook,Oregon,7.73914150376585,2296.5,5594165
1975,Chinook,Oregon,7.99459858405025,2964.9,5412144
1976,Chinook,Oregon,7.66996199547358,2143,6511083
1977,Chinook,Oregon,8.05823236536532,3159.7,12023286
1978,Chinook,Oregon,7.63089805957746,2060.9,6651601
1979,Chinook,Oregon,7.68685077167845,2179.5,9642171
1980,Chinook,Oregon,7.49203580455497,1793.7,7127262
1981,Chinook,Oregon,7.0089571594911,1106.5,4825947
1982,Chinook,Oregon,7.58984151218266,1978,7616654
1983,Chinook,Oregon,6.36870163375959,583.3,1888541
1984,Chinook,Oregon,6.68185793947131,797.8,3051452
1985,Chinook,Oregon,7.46657074674679,1748.6,6735620
1986,Chinook,Oregon,7.98575661374612,2938.8,8262375
1987,Chinook,Oregon,8.55818157209355,5209.2,21471596
1988,Chinook,Oregon,8.58039331730233,5326.2,26790927
1989,Chinook,Oregon,8.14673802049752,3452.1,10621086
1990,Chinook,Oregon,7.55281454873503,1906.1,8057356
1991,Chinook,Oregon,6.70245164579626,814.4,2926952
1992,Chinook,Oregon,6.63437051123118,760.8,3120636
1993,Chinook,Oregon,6.51619307604296,676,2176252
1994,Chinook,Oregon,5.78965431373017,326.9,1018855
1995,Chinook,Oregon,7.07360864306878,1180.4,3431421
1996,Chinook,Oregon,7.07724485696071,1184.7,3151048
1997,Chinook,Oregon,6.85129074200101,945.1,2658081
1998,Chinook,Oregon,6.69220780428956,806.1,2465789
1999,Chinook,Oregon,6.18970046271601,487.7,1644099
2000,Chinook,Oregon,6.84853591932217,942.5,3437405
2001,Chinook,Oregon,7.47079377419506,1756,5435213
2002,Chinook,Oregon,7.7175292714738,2247.4,6551431
2003,Chinook,Oregon,7.74923625404778,2319.8,8038456
2004,Chinook,Oregon,7.7354770578383,2288.1,12207843
2005,Chinook,Oregon,7.46428058199912,1744.6,9551998
2006,Chinook,Oregon,6.35610766069589,576,4245996
2007,Chinook,Oregon,6.1416072055377,464.8,4118523
2008,Chinook,Oregon,6.36457862499849,580.9,3464459
2009,Chinook,Oregon,6.34791446573042,571.3,2219624
2010,Chinook,Oregon,6.88387233851881,976.4,6852714
2011,Chinook,Oregon,6.76353842822173,865.7,5959743
2012,Chinook,Oregon,6.70796197627614,818.9,6766615
2013,Chinook,Oregon,7.28605471901753,1459.8,11906952
2014,Chinook,Oregon,7.68694253163447,2179.7,18238877
2015,Chinook,Oregon,7.19263342410118,1329.6,11537840
2016,Chinook,Oregon,6.58492950439478,724.1,7867540
1950,Chinook,Washington,8.29429960885724,4001,2264931
1951,Chinook,Washington,8.50667810111647,4947.7,2957346
1952,Chinook,Washington,8.56978564153541,5270,2908143
1953,Chinook,Washington,8.50059622050887,4917.7,2585375
1954,Chinook,Washington,8.34383930460454,4204.2,2494111
1955,Chinook,Washington,8.42336591157208,4552.2,2855388
1956,Chinook,Washington,8.23233379812137,3760.6,2677665
1957,Chinook,Washington,8.24470182047169,3807.4,2597372
1958,Chinook,Washington,8.0949582524321,3277.9,2499819
1959,Chinook,Washington,7.88945914940452,2669,1926856
1960,Chinook,Washington,7.65102506894529,2102.8,1827360
1961,Chinook,Washington,7.91059061225648,2726,2443052
1962,Chinook,Washington,7.83340210578032,2523.5,2582423
1963,Chinook,Washington,7.97511766964529,2907.7,2447320
1964,Chinook,Washington,7.84278925367343,2547.3,2085416
1965,Chinook,Washington,7.86411252006938,2602.2,1969282
1966,Chinook,Washington,7.89338548893491,2679.5,2278019
1967,Chinook,Washington,7.8990421598927,2694.7,2400187
1968,Chinook,Washington,7.94136671743283,2811.2,2791956
1969,Chinook,Washington,8.08166055168568,3234.6,3587154
1970,Chinook,Washington,8.26405424256663,3881.8,4822875
1971,Chinook,Washington,8.26742328403432,3894.9,3724600
1972,Chinook,Washington,8.13906110937571,3425.7,4564960
1973,Chinook,Washington,8.48601207393266,4846.5,10181046
1974,Chinook,Washington,8.30486593253588,4043.5,7053287
1975,Chinook,Washington,8.47620451633888,4799.2,8784599
1976,Chinook,Washington,8.59289417975992,5393.2,14652347
1977,Chinook,Washington,8.48135873840702,4824,16049776
1978,Chinook,Washington,8.20756539688025,3668.6,11415087
1979,Chinook,Washington,8.02518932189084,3057,11404642
1980,Chinook,Washington,8.1912968325272,3609.4,11904323
1981,Chinook,Washington,7.96752278382668,2885.7,10698526
1982,Chinook,Washington,8.07181192839122,3202.9,11405086
1983,Chinook,Washington,7.48834947330275,1787.1,4947450
1984,Chinook,Washington,7.56568970378634,1930.8,7039900
1985,Chinook,Washington,7.83940741796899,2538.7,7259313
1986,Chinook,Washington,7.96676011305547,2883.5,7119357
1987,Chinook,Washington,8.24790098407605,3819.6,14109428
1988,Chinook,Washington,8.34716377575151,4218.2,19685750
1989,Chinook,Washington,8.23254650750798,3761.4,8795674
1990,Chinook,Washington,8.00982823927923,3010.4,9440022
1991,Chinook,Washington,7.61643126115971,2031.3,5655653
1992,Chinook,Washington,7.46502546099073,1745.9,5398637
1993,Chinook,Washington,7.19022378438103,1326.4,3339019
1994,Chinook,Washington,7.01893880794275,1117.6,2876914
1995,Chinook,Washington,6.98795182097641,1083.5,2005212
1996,Chinook,Washington,7.27170370688737,1439,2326767
1997,Chinook,Washington,7.27897394836171,1449.5,2642422
1998,Chinook,Washington,6.75739739739358,860.4,1499174
1999,Chinook,Washington,6.97269996762252,1067.1,2030823
2000,Chinook,Washington,6.89050738557258,982.9,2025237
2001,Chinook,Washington,7.46066290312749,1738.3,2573291
2002,Chinook,Washington,7.73122872121766,2278.4,3230953
2003,Chinook,Washington,7.69621263934641,2200,3152200
2004,Chinook,Washington,7.50367544378098,1814.7,5307213
2005,Chinook,Washington,7.54480818518717,1890.9,5318989
2006,Chinook,Washington,7.49958929784159,1807.3,7479575
2007,Chinook,Washington,7.23648332086992,1389.2,6884501
2008,Chinook,Washington,7.39860266003246,1633.7,8908240
2009,Chinook,Washington,7.30927929785704,1494.1,6588507
2010,Chinook,Washington,7.78962018384127,2415.4,12692610
2011,Chinook,Washington,7.8060856854793,2455.5,13373883
2012,Chinook,Washington,7.64597142290966,2092.2,12142840
2013,Chinook,Washington,7.9547935321042,2849.2,16717941
2014,Chinook,Washington,8.11237787214957,3335.5,16817462
2015,Chinook,Washington,8.10970604035643,3326.6,19170888
2016,Chinook,Washington,7.5538632615363,1908.1,13826524
1950,Chinook,Michigan,NA,NA,NA
1951,Chinook,Michigan,NA,NA,NA
1952,Chinook,Michigan,NA,NA,NA
1953,Chinook,Michigan,NA,NA,NA
1954,Chinook,Michigan,NA,NA,NA
1955,Chinook,Michigan,NA,NA,NA
1956,Chinook,Michigan,NA,NA,NA
1957,Chinook,Michigan,NA,NA,NA
1958,Chinook,Michigan,NA,NA,NA
1959,Chinook,Michigan,NA,NA,NA
1960,Chinook,Michigan,NA,NA,NA
1961,Chinook,Michigan,NA,NA,NA
1962,Chinook,Michigan,NA,NA,NA
1963,Chinook,Michigan,NA,NA,NA
1964,Chinook,Michigan,NA,NA,NA
1965,Chinook,Michigan,NA,NA,NA
1966,Chinook,Michigan,NA,NA,NA
1967,Chinook,Michigan,NA,NA,NA
1968,Chinook,Michigan,NA,NA,NA
1969,Chinook,Michigan,NA,NA,NA
1970,Chinook,Michigan,NA,NA,NA
1971,Chinook,Michigan,NA,NA,NA
1972,Chinook,Michigan,NA,NA,NA
1973,Chinook,Michigan,NA,NA,NA
1974,Chinook,Michigan,NA,NA,NA
1975,Chinook,Michigan,NA,NA,NA
1976,Chinook,Michigan,NA,NA,NA
1977,Chinook,Michigan,NA,NA,NA
1978,Chinook,Michigan,NA,NA,NA
1979,Chinook,Michigan,NA,NA,NA
1980,Chinook,Michigan,NA,NA,NA
1981,Chinook,Michigan,NA,NA,NA
1982,Chinook,Michigan,NA,NA,NA
1983,Chinook,Michigan,NA,NA,NA
1984,Chinook,Michigan,NA,NA,NA
1985,Chinook,Michigan,NA,NA,NA
1986,Chinook,Michigan,NA,NA,NA
1987,Chinook,Michigan,1.6094379124341,5,5000
1988,Chinook,Michigan,NA,NA,NA
1989,Chinook,Michigan,NA,NA,NA
1990,Chinook,Michigan,NA,NA,NA
1991,Chinook,Michigan,NA,NA,NA
1992,Chinook,Michigan,NA,NA,NA
1993,Chinook,Michigan,0.587786664902119,1.8,5000
1994,Chinook,Michigan,5.61786141214856,275.3,288000
1995,Chinook,Michigan,5.32981603360741,206.4,232000
1996,Chinook,Michigan,5.54283094359844,255.4,271000
1997,Chinook,Michigan,5.76456394691606,318.8,216599
1998,Chinook,Michigan,5.58236785276577,265.7,171582
1999,Chinook,Michigan,4.55071400019203,94.7,72309
2000,Chinook,Michigan,5.75066606055505,314.4,221819
2001,Chinook,Michigan,5.46128619482618,235.4,265000
2002,Chinook,Michigan,NA,NA,NA
2003,Chinook,Michigan,NA,NA,NA
2004,Chinook,Michigan,NA,NA,NA
2005,Chinook,Michigan,NA,NA,NA
2006,Chinook,Michigan,NA,NA,NA
2007,Chinook,Michigan,NA,NA,NA
2008,Chinook,Michigan,NA,NA,NA
2009,Chinook,Michigan,4.13676527810605,62.6,102082
2010,Chinook,Michigan,4.47049528266149,87.4,116921
2011,Chinook,Michigan,4.21803603456465,67.9,87384
2012,Chinook,Michigan,4.93662988078576,139.3,275939
2013,Chinook,Michigan,4.4496852831477,85.6,160995
2014,Chinook,Michigan,5.09067800176979,162.5,272551
2015,Chinook,Michigan,4.36691299686383,78.8,164293
2016,Chinook,Michigan,3.49650756146648,33,118432
1950,Chinook,Pennsylvania,NA,NA,NA
1951,Chinook,Pennsylvania,NA,NA,NA
1952,Chinook,Pennsylvania,NA,NA,NA
1953,Chinook,Pennsylvania,NA,NA,NA
1954,Chinook,Pennsylvania,NA,NA,NA
1955,Chinook,Pennsylvania,NA,NA,NA
1956,Chinook,Pennsylvania,NA,NA,NA
1957,Chinook,Pennsylvania,NA,NA,NA
1958,Chinook,Pennsylvania,NA,NA,NA
1959,Chinook,Pennsylvania,NA,NA,NA
1960,Chinook,Pennsylvania,NA,NA,NA
1961,Chinook,Pennsylvania,NA,NA,NA
1962,Chinook,Pennsylvania,NA,NA,NA
1963,Chinook,Pennsylvania,NA,NA,NA
1964,Chinook,Pennsylvania,NA,NA,NA
1965,Chinook,Pennsylvania,NA,NA,NA
1966,Chinook,Pennsylvania,NA,NA,NA
1967,Chinook,Pennsylvania,NA,NA,NA
1968,Chinook,Pennsylvania,NA,NA,NA
1969,Chinook,Pennsylvania,NA,NA,NA
1970,Chinook,Pennsylvania,NA,NA,NA
1971,Chinook,Pennsylvania,NA,NA,NA
1972,Chinook,Pennsylvania,NA,NA,NA
1973,Chinook,Pennsylvania,NA,NA,NA
1974,Chinook,Pennsylvania,NA,NA,NA
1975,Chinook,Pennsylvania,NA,NA,NA
1976,Chinook,Pennsylvania,NA,NA,NA
1977,Chinook,Pennsylvania,NA,NA,NA
1978,Chinook,Pennsylvania,NA,NA,NA
1979,Chinook,Pennsylvania,NA,NA,NA
1980,Chinook,Pennsylvania,NA,NA,NA
1981,Chinook,Pennsylvania,NA,NA,NA
1982,Chinook,Pennsylvania,NA,NA,NA
1983,Chinook,Pennsylvania,NA,NA,NA
1984,Chinook,Pennsylvania,NA,NA,NA
1985,Chinook,Pennsylvania,NA,NA,NA
1986,Chinook,Pennsylvania,NA,NA,NA
1987,Chinook,Pennsylvania,NA,NA,NA
1988,Chinook,Pennsylvania,NA,NA,NA
1989,Chinook,Pennsylvania,NA,NA,NA
1990,Chinook,Pennsylvania,NA,NA,NA
1991,Chinook,Pennsylvania,NA,NA,NA
1992,Chinook,Pennsylvania,NA,NA,NA
1993,Chinook,Pennsylvania,NA,NA,NA
1994,Chinook,Pennsylvania,NA,NA,NA
1995,Chinook,Pennsylvania,NA,NA,NA
1996,Chinook,Pennsylvania,NA,NA,NA
1997,Chinook,Pennsylvania,NA,NA,NA
1998,Chinook,Pennsylvania,NA,NA,NA
1999,Chinook,Pennsylvania,NA,NA,NA
2000,Chinook,Pennsylvania,NA,NA,NA
2001,Chinook,Pennsylvania,NA,NA,NA
2002,Chinook,Pennsylvania,NA,NA,NA
2003,Chinook,Pennsylvania,NA,NA,NA
2004,Chinook,Pennsylvania,NA,NA,NA
2005,Chinook,Pennsylvania,NA,NA,NA
2006,Chinook,Pennsylvania,NA,NA,NA
2007,Chinook,Pennsylvania,NA,NA,NA
2008,Chinook,Pennsylvania,NA,NA,NA
2009,Chinook,Pennsylvania,NA,NA,NA
2010,Chinook,Pennsylvania,NA,NA,NA
2011,Chinook,Pennsylvania,NA,NA,NA
2012,Chinook,Pennsylvania,NA,NA,NA
2013,Chinook,Pennsylvania,NA,NA,NA
2014,Chinook,Pennsylvania,NA,NA,NA
2015,Chinook,Pennsylvania,NA,NA,NA
2016,Chinook,Pennsylvania,-Inf,0,0
